Detected 126 city entries containing state names
------------------------------------------------------------
City Value                               | Detected State      
------------------------------------------------------------
Taleigao Goa                             | Goa                 
Siolim Goa                               | Goa                 
Saligao Goa                              | Goa                 
Santa Cruz Goa                           | Goa                 
Reis Magos Goa                           | Goa                 
Moira Goa                                | Goa                 
Verna Goa                                | Goa                 
Merces Goa                               | Goa                 
Morjim Goa                               | Goa                 
Navelim Goa                              | Goa                 
Raia Goa                                 | Goa                 
Nerul Goa                                | Goa                 
Chicalim Goa                             | Goa                 
Colvale Goa                              | Goa                 
Corlim Goa                               | Goa                 
Chimbel Goa                              | Goa                 
Guirim Goa                               | Goa                 
Mandrem Goa                              | Goa                 
Britona Goa                              | Goa                 
Caranzalem Goa                           | Goa                 
Goa Velha Goa                            | Goa                 
Aldona Goa                               | Goa                 
Betalbatim Goa                           | Goa                 
Varca Goa                                | Goa                 
Cortalim Goa                             | Goa                 
Quepem Goa                               | Goa                 
Ponda Goa                                | Goa                 
Valpoi Goa                               | Goa                 
Panaji Goa                               | Goa                 
Bambolim Goa                             | Goa                 
Benaulim Goa                             | Goa                 
Dona Paula Goa                           | Goa                 
Porvorim Goa                             | Goa                 
Assagao Goa                              | Goa                 
Calangute Goa                            | Goa                 
Sanquelim Goa                            | Goa                 
Sanvordem Goa                            | Goa                 
Anjuna Goa                               | Goa                 
Candolim Goa                             | Goa                 
Curchorem Goa                            | Goa                 
Canacona Goa                             | Goa                 
Cuncolim Goa                             | Goa                 
Pernem Goa                               | Goa                 
Sanguem Goa                              | Goa                 
Mapusa Goa                               | Goa                 
Vasco da Gama Goa                        | Goa                 
Bicholim Goa                             | Goa                 
Arambol Goa                              | Goa                 
Colva Goa                                | Goa                 
Margao Goa                               | Goa                 
Daund Maharashtra                        | Maharashtra         
Varangaon Maharashtra                    | Maharashtra         
Vite Maharashtra                         | Maharashtra         
Ozar Maharashtra                         | Maharashtra         
Dondaicha Maharashtra                    | Maharashtra         
Yeola Maharashtra                        | Maharashtra         
Gangakher Maharashtra                    | Maharashtra         
Pachora Maharashtra                      | Maharashtra         
Jaisingpur Maharashtra                   | Maharashtra         
Talegaon Dabhade Maharashtra             | Maharashtra         
Warud Maharashtra                        | Maharashtra         
Dahanu Maharashtra                       | Maharashtra         
Majalgaon Maharashtra                    | Maharashtra         
Chiplun Maharashtra                      | Maharashtra         
Sillod Maharashtra                       | Maharashtra         
Umred Maharashtra                        | Maharashtra         
Deolali Maharashtra                      | Maharashtra         
Diglur Maharashtra                       | Maharashtra         
Phaltan Maharashtra                      | Maharashtra         
Anjangaon Maharashtra                    | Maharashtra         
Baramati Maharashtra                     | Maharashtra         
Karad Maharashtra                        | Maharashtra         
Wani Maharashtra                         | Maharashtra         
Shahada Maharashtra                      | Maharashtra         
Shegaon Maharashtra                      | Maharashtra         
Banjar Himachal Pradesh                  | Himachal Pradesh    
Chowari Himachal Pradesh                 | Himachal Pradesh    
