ASIN,Product_name,price,rating,Number_of_ratings,Brand,Seller,category,subcategory,sub_sub_category,category_sub_sub_sub,colour,size_options,description,link,Image_URLs,About_the_items_bullet,Product_details,Additional_Details,Manufacturer_Name
,Amazon Basics Gt 710 Pci_e_x8 gddr3 Graphics Card | 954 Mhz Core Clock | 5010 Mhz Memory Clock | 2 Gb Memory (Geforce Chipset),₹3379,3.8,0,,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzgwMjAxNjg3MDAwNTY3OjE3NjM2OTUwMDc6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDAyNjYyMjk5Nzk0MzI6OjA6Og&url=%2FAmazon-Pci_e_x8-Graphics-Geforce-Chipset%2Fdp%2FB0D7951F7F%2Fref%3Dmp_s_a_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4%26dib_tag%3Dse%26keywords%3Dgraphic%2Bcard%26qid%3D1763695007%26sr%3D8-1-spons%26aref%3D3H4Ycso3Jr%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&aref=3H4Ycso3Jr&sp_cr=ZAZ,,,{},{},
,"FRONTECH GT 740 Graphics Card | 128-Bit PCIe 3.0 GPU | High Performance Gaming Graphics Card with Single Cooling Fan | Desktop PC Graphics Solution (GRP-0005, Black)",₹3049,3.8,0,Visit the FRONTECH Store,,,,,,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NzgwMjAxNjg3MDAwNTY3OjE3NjM2OTUwMDc6c3BfcGhvbmVfc2VhcmNoX2F0ZjozMDA0NjA4NjQwODg4MzI6OjA6Og&url=%2FFRONTECH-Graphics-DDR3-Efficiency-GRP-0005%2Fdp%2FB0CPYL3H9D%2Fref%3Dmp_s_a_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4%26dib_tag%3Dse%26keywords%3Dgraphic%2Bcard%26qid%3D1763695007%26sr%3D8-2-spons%26aref%3DL3uCnhMFEK%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm%26psc%3D1&aref=L3uCnhMFEK&sp_cr=ZAZ,,,{},{},
B0DGT7B4JX,"ZEBRONICS GT740-4GD3 Graphics Card,pci_e_x16 Powered by NVIDIA,4GB GDDR3,128-Bit,Pcie3.0,Upto 2560 X 1440 @60Hz,Multiple Outputs-HDMI | DVI | VGA,Physx Support,Heatsink with Fan,High Efficiency",₹3059.,3.9,1311,Visit the ZEBRONICS Store,,,,,,,,,https://www.amazon.in/ZEBRONICS-GT740-4GD3-Graphics-Powered-Multiple/dp/B0DGT7B4JX/ref=mp_s_a_1_3?dib=eyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4&dib_tag=se&keywords=graphic+card&qid=1763695007&sr=8-3,,,{},{},
B0BNP2CMXM,GIGABYTE NVIDIA GeForce RTX 3060 WINDFORCE OC 12GB GDDR6 pci_e_x16 Graphics Card (GV-N3060WF2OC-12GD),₹26999,4.4,0,,,,,,,,,,https://www.amazon.in/GIGABYTE-WINDFORCE-pci_e_x16-Graphics-GV-N3060WF2OC-12GD/dp/B0BNP2CMXM/ref=mp_s_a_1_4?dib=eyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4&dib_tag=se&keywords=graphic+card&qid=1763695007&sr=8-4,,,{},{},
B0G1TKWK2Q,"XPOWERT | Geforce RTX 4060 Ventus 2X Black 8G Oc 8Gb Gddr6 128-Bit Gaming Graphic Card, pci_e HR-13 PWRU-014789XT",₹23900,,0,Brand: Generic,,,,,,,,,https://www.amazon.in/XPOWERT-Geforce-128-Bit-Graphic-PWRU-014789XT/dp/B0G1TKWK2Q/ref=mp_s_a_1_5?dib=eyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4&dib_tag=se&keywords=graphic+card&qid=1763695007&sr=8-5,,,{},{},
B0C8JZNLZL,"GIGABYTE NVIDIA Geforce RTX 4060 Windforce OC Graphics Card | 8GB GDDR6 |128-Bit, pci_e_x16 4.0 | 2475Mhz Core Clock | 2X DP 1.4, 2X HDMI 2.1A, NVIDIA DLSS 3 | GV-N4060WF2OC-8GD",₹32999.,4.7,360,Visit the GIGABYTE Store,,,,,,,,,https://www.amazon.in/Gigabyte-GeForce-WINDFORCE-Graphics-GV-N4060WF2OC-8GD/dp/B0C8JZNLZL/ref=mp_s_a_1_6?dib=eyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4&dib_tag=se&keywords=graphic+card&qid=1763695007&sr=8-6,,,{},{},
B0CPYL3H9D,"FRONTECH GT 740 Graphics Card | 128-Bit PCIe 3.0 GPU | High Performance Gaming Graphics Card with Single Cooling Fan | Desktop PC Graphics Solution (GRP-0005, Black)",₹3049,3.8,0,Visit the FRONTECH Store,,,,,,,,,https://www.amazon.in/FRONTECH-Graphics-DDR3-Efficiency-GRP-0005/dp/B0CPYL3H9D/ref=mp_s_a_1_7?dib=eyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4&dib_tag=se&keywords=graphic+card&qid=1763695007&sr=8-7,,,{},{},
B0F6NLT7M4,"Gigabyte GeForce RTX 5060 WINDFORCE OC 8G Graphics Card - 8GB GDDR7, 128bit, PCI-E 5.0, 2512 MHz Core Clock, 3 x DisplayPort, 1 x HDMI, GV-N5060WF2OC-8GD",₹36459,4.2,0,,,,,,,,,,https://www.amazon.in/Gigabyte-GeForce-WINDFORCE-Graphics-GV-N5060WF2OC-8GD/dp/B0F6NLT7M4/ref=mp_s_a_1_8?dib=eyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4&dib_tag=se&keywords=graphic+card&qid=1763695007&sr=8-8,,,{},{},
B08WHJFYM8,MSI GeForce RTX 3060 Ventus 2X 12G OC GDDR6 192-bit 12 GB pci_e Express Gen 4 Gaming Graphics Card,₹27428.,4.7,2776,Visit the MSI Store,,,,,,,,,https://www.amazon.in/MSI-GeForce-192-bit-Express-Graphics/dp/B08WHJFYM8/ref=mp_s_a_1_9?dib=eyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4&dib_tag=se&keywords=graphic+card&qid=1763695007&sr=8-9,,,{},{},
B0D4XZXLL7,GIGABYTE Geforce RTX 3050 Windforce pci_e Oc 6G 6Gb Gddr6 Graphics Card Gv-N3050Wf2Oc-6Gd,₹17350,4.6,0,,,,,,,,,,https://www.amazon.in/GIGABYTE-Geforce-Windforce-Graphics-Gv-N3050Wf2Oc-6Gd/dp/B0D4XZXLL7/ref=mp_s_a_1_10?dib=eyJ2IjoiMSJ9.VsRvMn0rzqVTPaeM1cWo3xJ35jUMqMuNC0ss7rN7tQ56EhsH4PcsJV1Y0557uq0uwOr0I207Kpve0pjUZ6fuDo4zHmWElie_ltGOIGy_xpXWuiW6n-mNc9E5k1Xz4hm5efoFsGJmfubqq6Fo86mohDrVimX8zhFJVP-JSYckhWUAKPF8OOd20R-BlP5uu5iKgZhXquM9nBstszNWyZlPvw.tdjROfSzEDoOOQ7DeKP_oo6FXnCzniWbPnnDn7K9WT4&dib_tag=se&keywords=graphic+card&qid=1763695007&sr=8-10,,,{},{},
