name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Delhi 'O' Delhi,"India Habitat Centre, Lodhi Rd, New Delhi, Delhi 110003",habitatworld.com,011 4366 3302,,4.5,restaurant,,delhi,delhi,"India Habitat Centre, Lodhi Rd"
"Kiyan, New Delhi","India Habitat Centre, Lodhi Rd, New Delhi, Delhi 110003",habitatworld.com,011 4366 3302,,4.5,restaurant,,delhi,delhi,"India Habitat Centre, Lodhi Rd"
Daryaganj Restaurant,"India Habitat Centre, Lodhi Rd, New Delhi, Delhi 110003",habitatworld.com,011 4366 3302,,4.5,restaurant,,delhi,delhi,"India Habitat Centre, Lodhi Rd"
Daryaganj Restaurant,"India Habitat Centre, Lodhi Rd, New Delhi, Delhi 110003",habitatworld.com,011 4366 3302,,4.5,restaurant,,delhi,delhi,"India Habitat Centre, Lodhi Rd"
Baluchi,"Shop number 11, Second Floor, Pacific Mall, Block 6, Tagore Garden, New Delhi, Delhi, 110018",daryaganj.com,093557 71947,,4.7,restaurant,,delhi,delhi,"Shop number 11, Second Floor"
AnnaMaya FoodHall - Andaz Delhi,"Shop number 11, Second Floor, Pacific Mall, Block 6, Tagore Garden, New Delhi, Delhi, 110018",daryaganj.com,093557 71947,,4.7,restaurant,,delhi,delhi,"Shop number 11, Second Floor"
White Oak Restaurant,"Shop number 11, Second Floor, Pacific Mall, Block 6, Tagore Garden, New Delhi, Delhi, 110018",daryaganj.com,093557 71947,,4.7,restaurant,,delhi,delhi,"Shop number 11, Second Floor"
Raajsik - Indian Cuisine Restaurant,"Shop number 11, Second Floor, Pacific Mall, Block 6, Tagore Garden, New Delhi, Delhi, 110018",daryaganj.com,093557 71947,,4.7,restaurant,,delhi,delhi,"Shop number 11, Second Floor"
"Dakshin, Sheraton New Delhi","Shop number 11, Second Floor, Pacific Mall, Block 6, Tagore Garden, New Delhi, Delhi, 110018",daryaganj.com,093557 71947,,4.7,restaurant,,delhi,delhi,"Shop number 11, Second Floor"
Dhaba,"Shop number 11, Second Floor, Pacific Mall, Block 6, Tagore Garden, New Delhi, Delhi, 110018",daryaganj.com,093557 71947,,4.7,restaurant,,delhi,delhi,"Shop number 11, Second Floor"
Tamra Restaurant,"Shop number 11, Second Floor, Pacific Mall, Block 6, Tagore Garden, New Delhi, Delhi, 110018",daryaganj.com,093557 71947,,4.7,restaurant,,delhi,delhi,"Shop number 11, Second Floor"
Moti Mahal Delux,"Shop number 11, Second Floor, Pacific Mall, Block 6, Tagore Garden, New Delhi, Delhi, 110018",daryaganj.com,093557 71947,,4.7,restaurant,,delhi,delhi,"Shop number 11, Second Floor"
The GT Road,"Metro Station South Extension, E 31-32, NH 48, South Extension II, New Delhi, Delhi 110049",motimahaldelux.in,087008 77544,,4.0,restaurant,,delhi,delhi,"Metro Station South Extension, E 31-32"
Dilli 32,"Metro Station South Extension, E 31-32, NH 48, South Extension II, New Delhi, Delhi 110049",motimahaldelux.in,087008 77544,,4.0,restaurant,,delhi,delhi,"Metro Station South Extension, E 31-32"
